Country,Region,Urban,Origin,Year1,Year2,Age,AgeInt,AgeDef,Vitality,   ASFR,   CPFR,Collection,SourceType,   RefCode,Note,Split
    GRC,     .,    .,     ., 1960, 1960, 14,   -99,   ACY,       1,0.00025,0.00000,       ODE,  estimate,    GRC_01,   .,    2
    GRC,     .,    .,     ., 1960, 1960, 15,     1,   ACY,       1,0.00190,0.00025,       ODE,  estimate,    GRC_01,   .,    2
    GRC,     .,    .,     ., 1960, 1960, 16,     1,   ACY,       1,0.00617,0.00215,       ODE,  estimate,    GRC_01,   .,    0
    GRC,     .,    .,     ., 1960, 1960, 17,     1,   ACY,       1,0.01498,0.00832,       ODE,  estimate,    GRC_01,   .,    0
    GRC,     .,    .,     ., 1960, 1960, 18,     1,   ACY,       1,0.02466,0.02330,       ODE,  estimate,    GRC_01,   .,    0
    GRC,     .,    .,     ., 1960, 1960, 19,     1,   ACY,       1,0.04211,0.04796,       ODE,  estimate,    GRC_01,   .,    0
    GRC,     .,    .,     ., 1960, 1960, 20,     1,   ACY,       1,0.06248,0.09007,       ODE,  estimate,    GRC_01,   .,    0
    GRC,     .,    .,     ., 1960, 1960, 21,     1,   ACY,       1,0.08839,0.15255,       ODE,  estimate,    GRC_01,   .,    0
    GRC,     .,    .,     ., 1960, 1960, 22,     1,   ACY,       1,0.11068,0.24094,       ODE,  estimate,    GRC_01,   .,    0
    GRC,     .,    .,     ., 1960, 1960, 23,     1,   ACY,       1,0.12760,0.35162,       ODE,  estimate,    GRC_01,   .,    0
    GRC,     .,    .,     ., 1960, 1960, 24,     1,   ACY,       1,0.13472,0.47922,       ODE,  estimate,    GRC_01,   .,    0
    GRC,     .,    .,     ., 1960, 1960, 25,     1,   ACY,       1,0.14256,0.61394,       ODE,  estimate,    GRC_01,   .,    0
    GRC,     .,    .,     ., 1960, 1960, 26,     1,   ACY,       1,0.15658,0.75650,       ODE,  estimate,    GRC_01,   .,    0
    GRC,     .,    .,     ., 1960, 1960, 27,     1,   ACY,       1,0.16601,0.91308,       ODE,  estimate,    GRC_01,   .,    0
    GRC,     .,    .,     ., 1960, 1960, 28,     1,   ACY,       1,0.15481,1.07909,       ODE,  estimate,    GRC_01,   .,    0
    GRC,     .,    .,     ., 1960, 1960, 29,     1,   ACY,       1,0.13959,1.23390,       ODE,  estimate,    GRC_01,   .,    0
    GRC,     .,    .,     ., 1960, 1960, 30,     1,   ACY,       1,0.12365,1.37349,       ODE,  estimate,    GRC_01,   .,    0
    GRC,     .,    .,     ., 1960, 1960, 31,     1,   ACY,       1,0.12181,1.49714,       ODE,  estimate,    GRC_01,   .,    0
    GRC,     .,    .,     ., 1960, 1960, 32,     1,   ACY,       1,0.11180,1.61895,       ODE,  estimate,    GRC_01,   .,    0
    GRC,     .,    .,     ., 1960, 1960, 33,     1,   ACY,       1,0.09983,1.73075,       ODE,  estimate,    GRC_01,   .,    0
    GRC,     .,    .,     ., 1960, 1960, 34,     1,   ACY,       1,0.07991,1.83058,       ODE,  estimate,    GRC_01,   .,    0
    GRC,     .,    .,     ., 1960, 1960, 35,     1,   ACY,       1,0.06790,1.91049,       ODE,  estimate,    GRC_01,   .,    0
    GRC,     .,    .,     ., 1960, 1960, 36,     1,   ACY,       1,0.05687,1.97839,       ODE,  estimate,    GRC_01,   .,    0
    GRC,     .,    .,     ., 1960, 1960, 37,     1,   ACY,       1,0.04550,2.03526,       ODE,  estimate,    GRC_01,   .,    0
    GRC,     .,    .,     ., 1960, 1960, 38,     1,   ACY,       1,0.03343,2.08076,       ODE,  estimate,    GRC_01,   .,    0
    GRC,     .,    .,     ., 1960, 1960, 39,     1,   ACY,       1,0.02679,2.11419,       ODE,  estimate,    GRC_01,   .,    0
    GRC,     .,    .,     ., 1960, 1960, 40,     1,   ACY,       1,0.02181,2.14098,       ODE,  estimate,    GRC_01,   .,    0
    GRC,     .,    .,     ., 1960, 1960, 41,     1,   ACY,       1,0.01819,2.16279,       ODE,  estimate,    GRC_01,   .,    0
    GRC,     .,    .,     ., 1960, 1960, 42,     1,   ACY,       1,0.01161,2.18098,       ODE,  estimate,    GRC_01,   .,    0
    GRC,     .,    .,     ., 1960, 1960, 43,     1,   ACY,       1,0.00748,2.19259,       ODE,  estimate,    GRC_01,   .,    0
    GRC,     .,    .,     ., 1960, 1960, 44,     1,   ACY,       1,0.00473,2.20007,       ODE,  estimate,    GRC_01,   .,    0
    GRC,     .,    .,     ., 1960, 1960, 45,     1,   ACY,       1,0.00336,2.20480,       ODE,  estimate,    GRC_01,   .,    0
    GRC,     .,    .,     ., 1960, 1960, 46,     1,   ACY,       1,0.00243,2.20816,       ODE,  estimate,    GRC_01,   .,    0
    GRC,     .,    .,     ., 1960, 1960, 47,     1,   ACY,       1,0.00142,2.21059,       ODE,  estimate,    GRC_01,   .,    0
    GRC,     .,    .,     ., 1960, 1960, 48,     1,   ACY,       1,0.00090,2.21201,       ODE,  estimate,    GRC_01,   .,    0
    GRC,     .,    .,     ., 1960, 1960, 49,     1,   ACY,       1,0.00095,2.21291,       ODE,  estimate,    GRC_01,   .,    2
    GRC,     .,    .,     ., 1960, 1960, 50,    99,   ACY,       1,0.00083,2.21386,       ODE,  estimate,    GRC_01,   .,    2
    GRC,     .,    .,     ., 1961, 1961, 14,   -99,   ACY,       1,0.00024,0.00000,       ODE,  estimate,    GRC_01,   .,    2
    GRC,     .,    .,     ., 1961, 1961, 15,     1,   ACY,       1,0.00171,0.00024,       ODE,  estimate,    GRC_01,   .,    2
    GRC,     .,    .,     ., 1961, 1961, 16,     1,   ACY,       1,0.00497,0.00195,       ODE,  estimate,    GRC_01,   .,    0
    GRC,     .,    .,     ., 1961, 1961, 17,     1,   ACY,       1,0.01228,0.00692,       ODE,  estimate,    GRC_01,   .,    0
    GRC,     .,    .,     ., 1961, 1961, 18,     1,   ACY,       1,0.02444,0.01920,       ODE,  estimate,    GRC_01,   .,    0
    GRC,     .,    .,     ., 1961, 1961, 19,     1,   ACY,       1,0.04413,0.04364,       ODE,  estimate,    GRC_01,   .,    0
    GRC,     .,    .,     ., 1961, 1961, 20,     1,   ACY,       1,0.06451,0.08777,       ODE,  estimate,    GRC_01,   .,    0
    GRC,     .,    .,     ., 1961, 1961, 21,     1,   ACY,       1,0.08316,0.15228,       ODE,  estimate,    GRC_01,   .,    0
    GRC,     .,    .,     ., 1961, 1961, 22,     1,   ACY,       1,0.09985,0.23544,       ODE,  estimate,    GRC_01,   .,    0
    GRC,     .,    .,     ., 1961, 1961, 23,     1,   ACY,       1,0.11649,0.33529,       ODE,  estimate,    GRC_01,   .,    0
    GRC,     .,    .,     ., 1961, 1961, 24,     1,   ACY,       1,0.13379,0.45178,       ODE,  estimate,    GRC_01,   .,    0
    GRC,     .,    .,     ., 1961, 1961, 25,     1,   ACY,       1,0.14579,0.58557,       ODE,  estimate,    GRC_01,   .,    0
    GRC,     .,    .,     ., 1961, 1961, 26,     1,   ACY,       1,0.15147,0.73136,       ODE,  estimate,    GRC_01,   .,    0
    GRC,     .,    .,     ., 1961, 1961, 27,     1,   ACY,       1,0.14796,0.88283,       ODE,  estimate,    GRC_01,   .,    0
    GRC,     .,    .,     ., 1961, 1961, 28,     1,   ACY,       1,0.13777,1.03079,       ODE,  estimate,    GRC_01,   .,    0
    GRC,     .,    .,     ., 1961, 1961, 29,     1,   ACY,       1,0.13856,1.16856,       ODE,  estimate,    GRC_01,   .,    0
    GRC,     .,    .,     ., 1961, 1961, 30,     1,   ACY,       1,0.13341,1.30712,       ODE,  estimate,    GRC_01,   .,    0
