Country,Region,Urban,Origin,Year1,Year2,AgeDef,Vitality,  TFR,  MAB,Collection,SourceType,   RefCode,Note,Split
    GRC,     .,    .,     ., 1960, 1960,   ACY,       1,2.215,28.69,       ODE,  estimate,    GRC_01,   .,    2
    GRC,     .,    .,     ., 1961, 1961,   ACY,       1,2.124,28.73,       ODE,  estimate,    GRC_01,   .,    2
    GRC,     .,    .,     ., 1962, 1962,   ACY,       1,2.163,28.61,       ODE,  estimate,    GRC_01,   .,    2
    GRC,     .,    .,     ., 1963, 1963,   ACY,       1,2.133,28.44,       ODE,  estimate,    GRC_01,   .,    2
    GRC,     .,    .,     ., 1964, 1964,   ACY,       1,2.240,28.24,       ODE,  estimate,    GRC_01,   .,    2
    GRC,     .,    .,     ., 1965, 1965,   ACY,       1,2.243,28.07,       ODE,  estimate,    GRC_01,   .,    2
    GRC,     .,    .,     ., 1966, 1966,   ACY,       1,2.318,27.90,       ODE,  estimate,    GRC_01,   .,    2
    GRC,     .,    .,     ., 1967, 1967,   ACY,       1,2.445,27.77,       ODE,  estimate,    GRC_01,   .,    2
    GRC,     .,    .,     ., 1968, 1968,   ACY,       1,2.419,27.66,       ODE,  estimate,    GRC_01,   .,    2
    GRC,     .,    .,     ., 1969, 1969,   ACY,       1,2.355,27.67,       ODE,  estimate,    GRC_01,   .,    2
    GRC,     .,    .,     ., 1970, 1970,   ACY,       1,2.399,27.42,       ODE,  estimate,    GRC_01,   .,    2
    GRC,     .,    .,     ., 1971, 1971,   ACY,       1,2.323,27.39,       ODE,  estimate,    GRC_01,   .,    2
    GRC,     .,    .,     ., 1972, 1972,   ACY,       1,2.321,27.32,       ODE,  estimate,    GRC_01,   .,    2
    GRC,     .,    .,     ., 1973, 1973,   ACY,       1,2.265,27.15,       ODE,  estimate,    GRC_01,   .,    2
    GRC,     .,    .,     ., 1974, 1974,   ACY,       1,2.376,26.92,       ODE,  estimate,    GRC_01,   .,    2
    GRC,     .,    .,     ., 1975, 1975,   ACY,       1,2.325,26.80,       ODE,  estimate,    GRC_01,   .,    2
    GRC,     .,    .,     ., 1976, 1976,   ACY,       1,2.347,26.56,       ODE,  estimate,    GRC_01,   .,    2
    GRC,     .,    .,     ., 1977, 1977,   ACY,       1,2.265,26.50,       ODE,  estimate,    GRC_01,   .,    2
    GRC,     .,    .,     ., 1978, 1978,   ACY,       1,2.274,26.34,       ODE,  estimate,    GRC_01,   .,    2
    GRC,     .,    .,     ., 1979, 1979,   ACY,       1,2.263,26.22,       ODE,  estimate,    GRC_01,   .,    2
    GRC,     .,    .,     ., 1980, 1980,   ACY,       1,2.229,26.13,       ODE,  estimate,    GRC_01,   .,    2
    GRC,     .,    .,     ., 1981, 1981,   ACY,       1,2.094,26.13,       ODE,  estimate,    GRC_01,   .,    2
    GRC,     .,    .,     ., 1982, 1982,   ACY,       1,2.026,26.13,       ODE,  estimate,    GRC_01,   .,    2
    GRC,     .,    .,     ., 1983, 1983,   ACY,       1,1.942,26.13,       ODE,  estimate,    GRC_01,   .,    2
    GRC,     .,    .,     ., 1984, 1984,   ACY,       1,1.825,26.15,       ODE,  estimate,    GRC_01,   .,    2
    GRC,     .,    .,     ., 1985, 1985,   ACY,       1,1.672,26.27,       ODE,  estimate,    GRC_01,   .,    2
    GRC,     .,    .,     ., 1986, 1986,   ACY,       1,1.603,26.44,       ODE,  estimate,    GRC_01,   .,    2
    GRC,     .,    .,     ., 1987, 1987,   ACY,       1,1.499,26.54,       ODE,  estimate,    GRC_01,   .,    2
    GRC,     .,    .,     ., 1988, 1988,   ACY,       1,1.502,26.78,       ODE,  estimate,    GRC_01,   .,    2
    GRC,     .,    .,     ., 1989, 1989,   ACY,       1,1.405,26.98,       ODE,  estimate,    GRC_01,   .,    2
