sexo,idade,a2010,a2015,a2020,a2025,a2030,a2035,a2040,a2045,a2050,a2055,a2060,a2065,a2070,a2075,a2080,a2085,a2090,a2095,a2100,a2105,a2110
fem,0,390266,378560,397357,404632,402091,397673,397845,400953,403128,403615,403733,404432,405572,406674,407559,408357,410130,411065,411975,412870,413769
fem,5,403443,389198,377524,396270,403525,400991,396585,396756,399856,402025,402510,402628,403325,404462,405561,406444,408089,409008,409940,410848,411740
fem,10,415995,402629,388412,376762,395470,402710,400182,395784,395955,399049,401213,401697,401815,402511,403645,404742,406417,407265,408182,409112,410019
fem,15,395307,414787,401460,387284,375668,394322,401541,399020,394635,394805,397890,400048,400531,400648,401342,402473,404445,405237,406083,406997,407924
fem,20,378347,393576,412970,399702,385588,374023,392595,399782,397272,392907,393076,396147,398296,398777,398893,399584,401799,402674,403462,404304,405214
fem,25,359358,376333,391481,410772,397574,383536,372032,390505,397654,395157,390816,390984,394038,396176,396654,396770,398577,399660,400531,401314,402152
fem,30,311273,356936,373797,388843,408004,394895,380952,369525,387874,394974,392494,388182,388349,391383,393506,393981,394779,395891,396967,397832,398610
fem,35,258346,308395,353636,370341,385248,404232,391244,377430,366109,384288,391322,388865,384593,384759,387764,389868,390452,391129,392231,393297,394154
fem,40,216479,255126,304551,349228,365725,380446,399193,386367,372725,361546,379498,386444,384018,379799,379963,382931,385473,385585,386254,387342,388395
fem,45,176436,212587,250540,299076,342950,359150,373607,392017,379421,366024,355046,372676,379497,377114,372971,373132,378087,378543,378653,379310,380379
fem,50,147407,171841,207050,244015,291286,334018,349796,363876,381807,369539,356491,345799,362970,369613,367292,363257,366253,368240,368684,368791,369431
fem,55,117285,141874,165391,199278,234856,280352,321480,336666,350217,367475,355668,343110,332819,349345,355739,353505,349773,352505,354418,354845,354948
fem,60,87510,110730,133944,156147,188140,221730,264683,303512,317849,330643,346936,335789,323933,314217,329820,335856,330081,330224,332803,334609,335012
fem,65,68226,80513,101877,123235,143663,173098,204002,243521,279246,292436,304207,319198,308942,298034,289095,303450,307063,303690,303822,306195,307856
fem,70,49250,60064,70881,89689,108492,126476,152389,179596,214387,245838,257450,267813,281010,271981,262378,254509,272036,270327,267358,267474,269563
fem,75,33103,40199,49026,57855,73206,88554,103233,124384,146591,174988,200659,210137,218595,229367,221997,214159,218051,222042,220647,218224,218319
fem,80,20563,24093,29257,35682,42107,53280,64451,75134,90528,106690,127358,146042,152940,159096,166936,161572,151192,158700,161604,160589,158826
fem,85,10445,12868,15077,18309,22329,26350,33342,40333,47018,56652,66766,79700,91392,95709,99561,104467,97540,94615,99313,101130,100495
fem,90,8354,7854,8658,9917,11793,14256,16965,21018,25633,30354,36351,43083,51299,59617,64896,68711,72474,71033,69208,70409,71670
masc,0,407167,391423,410859,418380,415753,411185,411363,414576,416825,417329,417451,418174,419353,420491,421407,422232,424065,425031,425973,426898,427828
masc,5,419935,405616,389932,409294,416786,414169,409618,409796,412996,415237,415739,415860,416581,417755,418889,419801,421501,422449,423412,424350,425271
masc,10,431115,418768,404489,388848,408156,415628,413018,408479,408657,411848,414083,414583,414704,415423,416594,417725,419454,420329,421275,422235,423171
masc,15,402171,427660,415412,401248,385732,404885,412298,409708,405206,405382,408548,410765,411261,411381,412094,413256,415279,416093,416961,417899,418852
masc,20,380457,395292,420345,408307,394385,379134,397960,405246,402700,398275,398448,401560,403739,404227,404345,405046,407290,408176,408976,409829,410751
masc,25,357363,372452,386975,411500,399716,386087,371157,389586,396719,394227,389895,390064,393111,395244,395722,395837,397641,398720,399588,400371,401206
masc,30,314078,349685,364450,378661,402659,391128,377792,363183,381216,388196,385757,381518,381684,384665,386752,387220,388004,389098,390154,391003,391769
masc,35,262918,307197,342023,356465,370365,393837,382558,369515,355226,372864,379691,377305,373159,373321,376237,378278,378847,379503,380573,381606,382436
masc,40,224036,256588,299801,333788,347883,361448,384355,373347,360618,346673,363887,370549,368221,364175,364333,367179,369617,369726,370366,371410,372418
masc,45,182192,217037,248572,290434,323360,337014,350155,372347,361683,349351,335842,352518,358972,356717,352797,352950,357636,358069,358175,358795,359806
masc,50,150652,174194,207510,237660,277685,309165,322220,334784,356002,345806,334015,321099,337043,343214,341058,337310,340092,341937,342351,342452,343045
masc,55,118792,141793,163951,195308,223685,261357,290985,303273,315098,335068,325472,314374,302218,317224,323032,321003,317613,320094,321830,322220,322315
masc,60,89211,109244,130396,150773,179610,205706,240350,267597,278897,289772,308137,299312,289106,277927,291727,297068,291958,292085,294366,295963,296322
masc,65,67917,79169,96947,115718,133802,159393,182551,213296,237476,247504,257155,273453,265621,256564,246643,258890,261974,259095,259208,261232,262649
masc,70,47338,56547,65916,80718,96346,111403,132710,151991,177589,197721,206071,214106,227676,221155,213614,205354,219497,218118,215721,215815,217500
masc,75,30443,35799,42763,49848,61042,72861,84247,100361,114942,134300,149525,155839,161916,172178,167246,161544,163008,165993,164950,163137,163208
masc,80,16929,20201,23755,28376,33077,40505,48348,55903,66596,76271,89116,99219,103409,107441,114251,110978,103049,108166,110147,109455,108252
masc,85,7868,9337,11141,13101,15650,18243,22340,26665,30832,36729,42065,49150,54722,57033,59256,63012,59120,56834,59656,60749,60367
masc,90,4978,5026,5619,6557,7691,9132,10710,12930,15491,18123,21460,24853,28953,32737,35121,36924,39243,38483,37291,37929,38606
