sexo,idade,a2010,a2015,a2020,a2025,a2030,a2035,a2040,a2045,a2050,a2055,a2060,a2065,a2070,a2075,a2080,a2085,a2090,a2095,a2100,a2105,a2110
fem,0,362032,348185,417362,407588,390676,382402,389177,397038,398011,395889,395320,396844,398666,399718,400260,400892,401801,402811,403749,404606,405457
fem,5,386337,361154,347232,416220,406473,389607,381356,388112,395951,396922,394806,394238,395758,397575,398624,399165,399795,400701,401709,402644,403499
fem,10,417573,385752,360425,346531,415380,405652,388820,380586,387329,395152,396121,394009,393442,394959,396772,397819,398359,398988,399892,400898,401831
fem,15,411631,416629,384632,359379,345525,414174,404474,387691,379481,386205,394005,394971,392865,392300,393812,395620,396664,397202,397830,398731,399734
fem,20,420394,410291,414804,382947,357805,344012,412360,402702,385993,377819,384514,392279,393241,391144,390582,392087,393887,394927,395462,396088,396985
fem,25,406098,418653,408107,412596,380909,355900,342181,410165,400558,383938,375808,382467,390191,391148,389062,388503,390000,391790,392825,393357,393980
fem,30,377415,403951,415832,405357,409816,378342,353502,339875,407401,397859,381351,373276,379890,387562,388512,386440,385885,387372,389150,390178,390706
fem,35,338205,374697,400216,411987,401609,406027,374844,350234,336733,403634,394181,377825,369825,376378,383979,384920,382867,382317,383791,385552,386571
fem,40,310061,334656,370026,395227,406852,396603,400966,370172,345868,332536,398603,389268,373115,365215,371687,379193,380122,378095,377551,379007,380746
fem,45,271967,305208,328640,363374,388122,399538,389473,393758,363517,339650,326558,391437,382270,366407,358649,365005,372376,373288,371298,370764,372193
fem,50,228736,265517,297259,320080,353910,378013,389132,379329,383502,354049,330804,318053,381242,372314,356864,349308,355498,362677,363566,361627,361107
fem,55,192598,220785,255550,286101,308065,340626,363824,374525,365090,369107,340759,318387,306114,366932,358339,343469,336196,342154,349063,349919,348053
fem,60,162229,182614,208445,241267,270110,290847,321588,343489,353592,344685,348477,321713,300592,289005,346424,338311,324272,317405,323030,329553,330361
fem,65,125783,149470,168014,191779,221977,248514,267593,295876,316026,325322,317127,320616,295991,276559,265899,318727,311262,298346,292028,297203,303205
fem,70,101964,110636,131588,147913,168835,195420,218783,235579,260478,278218,286402,279187,282259,260580,243472,234088,280596,274024,262653,257091,261647
fem,75,67330,83632,90304,107405,120730,137807,159507,178576,192285,212608,227088,233768,227879,230387,212692,198728,191068,229029,223665,214384,209844
fem,80,46870,49310,60868,65724,78170,87869,100297,116091,129969,139947,154738,165277,170139,165853,167678,154799,144636,139061,166690,162786,156031
fem,85,24909,28632,30858,38091,41130,48918,54988,62765,72649,81333,87578,96834,103429,106472,103789,104931,96872,90512,87023,104313,101870
fem,90,16021,15690,18518,20630,24534,27435,31901,36303,41391,47646,53888,59105,65152,70434,73912,74244,74860,71750,67794,64683,70607
masc,0,377368,360245,431543,421437,403950,395395,402400,410528,411535,409340,408752,410327,412211,413299,413859,414513,415453,416497,417467,418354,419233
masc,5,399486,376257,358872,429899,419831,402411,393889,400867,408964,409967,407780,407195,408764,410640,411724,412282,412934,413870,414910,415876,416760
masc,10,429335,398601,375211,357875,428704,418664,401292,392794,399753,407827,408827,406647,406063,407628,409499,410580,411136,411786,412720,413757,414720
masc,15,413048,426008,395407,372204,355007,425269,415309,398076,389647,396550,404559,405551,403389,402809,404362,406218,407290,407842,408486,409413,410442
masc,20,408323,406140,418722,388644,365838,348935,417995,408206,391267,382982,389767,397639,398614,396489,395919,397446,399270,400324,400866,401499,402410
masc,25,384161,399996,397594,409912,380467,358140,341593,409200,399617,383034,374924,381566,389272,390227,388146,387588,389083,390869,391901,392431,393051
masc,30,349403,376122,391402,389052,401105,372293,350445,334254,400408,391031,374805,366869,373368,380909,381843,379807,379261,380724,382471,383481,384000
masc,35,305647,341382,367881,382826,380528,392317,364136,342767,326930,391635,382463,366593,358831,365187,372563,373477,371485,370951,372382,374091,375079
masc,40,274866,297335,333163,359024,373609,371366,382871,355369,334514,319059,382206,373255,357767,350192,356395,363593,364485,362541,362020,363416,365084
masc,45,237047,264998,288045,322754,347807,361937,359764,370909,344266,324063,309091,370265,361594,346589,339251,345260,352233,353098,351214,350710,352062
masc,50,193601,225907,253365,275401,308586,332539,346049,343971,354627,329154,309837,295523,354011,345721,331375,324359,330104,336771,337598,335797,335315
masc,55,154822,181388,212623,238467,259207,290440,312985,325701,323745,333774,309799,291618,278146,333194,325392,311889,305286,310693,316968,317746,316051
masc,60,130311,141231,166809,195533,219300,238373,267096,287829,299523,297724,306947,284899,268179,255790,306413,299239,286821,280749,285721,291492,292207
masc,65,96898,114038,125334,148033,173524,194615,211541,237031,255431,265808,264212,272397,252830,237992,226998,271923,265556,254536,249147,253560,258681
masc,70,74657,79435,94947,104352,123252,144475,162035,176128,197351,212671,221310,219982,226796,210505,198151,188997,226402,221101,211925,207439,211113
masc,75,46682,55857,60072,71803,78915,93208,109258,122537,133195,149245,160830,167364,166359,171512,159192,149850,142927,171214,167206,160266,156874
masc,80,31658,30655,37065,39861,47646,52365,61849,72499,81311,88383,99033,106721,111056,110390,113809,105634,99435,94841,113611,110952,106346
masc,85,16571,16909,16907,20442,21984,26278,28881,34111,39985,44845,48745,54619,58859,61250,60883,62768,58260,54841,52307,62659,61193
masc,90,8836,8336,9877,10479,12097,13334,15498,17363,20138,23522,26748,29536,32924,35909,38012,38691,39694,38323,36449,34724,38100
