sexo,idade,pop2010
fem,0,362032
fem,5,386337
fem,10,417573
fem,15,411631
fem,20,420394
fem,25,406098
fem,30,377415
fem,35,338205
fem,40,310061
fem,45,271967
fem,50,228736
fem,55,192598
fem,60,162229
fem,65,125783
fem,70,101964
fem,75,67330
fem,80,46870
fem,85,24909
fem,90,16021
masc,0,377368
masc,5,399486
masc,10,429335
masc,15,413048
masc,20,408323
masc,25,384161
masc,30,349403
masc,35,305647
masc,40,274866
masc,45,237047
masc,50,193601
masc,55,154822
masc,60,130311
masc,65,96898
masc,70,74657
masc,75,46682
masc,80,31658
masc,85,16571
masc,90,8836
