sexo,idade,nLx
fem,0,491491
fem,5,490299
fem,10,489556
fem,15,488449
fem,20,486859
fem,25,484843
fem,30,482280
fem,35,478807
fem,40,473783
fem,45,466367
fem,50,455306
fem,55,439480
fem,60,416697
fem,65,383924
fem,70,337690
fem,75,276977
fem,80,202849
fem,85,123915
fem,90,77028
masc,0,488956
masc,5,487516
masc,10,486436
masc,15,482666
masc,20,474594
masc,25,464916
masc,30,455187
masc,35,444737
masc,40,432643
masc,45,417110
masc,50,397508
masc,55,372432
masc,60,339738
masc,65,297311
masc,70,243730
masc,75,182353
masc,80,119748
masc,85,63961
masc,90,31231
