sexo,idade,pop2010
fem,0,390266
fem,5,403443
fem,10,415995
fem,15,395307
fem,20,378347
fem,25,359358
fem,30,311273
fem,35,258346
fem,40,216479
fem,45,176436
fem,50,147407
fem,55,117285
fem,60,87510
fem,65,68226
fem,70,49250
fem,75,33103
fem,80,20563
fem,85,10445
fem,90,8354
masc,0,407167
masc,5,419935
masc,10,431115
masc,15,402171
masc,20,380457
masc,25,357363
masc,30,314078
masc,35,262918
masc,40,224036
masc,45,182192
masc,50,150652
masc,55,118792
masc,60,89211
masc,65,67917
masc,70,47338
masc,75,30443
masc,80,16929
masc,85,7868
masc,90,4978
