"sexo","idade","pop2010","nSx","pop2015fechada","TLM","pop2015aberta","TEF","B.total","B.sexo.sobrev","NA","NA","NA","NA","NA","NA","pop2015"
"fem",0,390266,0.997263422576051,NA,0,NA,NA,786805,378560,NA,0,NA,NA,NA,NA,378560
"fem",5,403443,0.997981267469801,389198,0,389198,NA,NA,NA,389198,0,389198,NA,NA,NA,389198
"fem",10,415995,0.997096808536775,402629,0,402629,NA,NA,NA,402629,0,402629,NA,NA,NA,402629
"fem",15,395307,0.995620213137307,414787,0,414787,0.0992,NA,NA,414787,0,414787,NA,NA,NA,414787
"fem",20,378347,0.994677000558905,393576,0,393576,0.1364,NA,NA,393576,0,393576,NA,NA,NA,393576
"fem",25,359358,0.993261399638396,376333,0,376333,0.0953,NA,NA,376333,0,376333,NA,NA,NA,376333
"fem",30,311273,0.990754541317535,356936,0,356936,0.0559,NA,NA,356936,0,356936,NA,NA,NA,356936
"fem",35,258346,0.987535212603004,308395,0,308395,0.0284,NA,NA,308395,0,308395,NA,NA,NA,308395
"fem",40,216479,0.982022654101442,255126,0,255126,0.0102,NA,NA,255126,0,255126,NA,NA,NA,255126
"fem",45,176436,0.973954700993971,212587,0,212587,0.0018,NA,NA,212587,0,212587,NA,NA,NA,212587
"fem",50,147407,0.962463778784573,171841,0,171841,NA,NA,NA,171841,0,171841,NA,NA,NA,171841
"fem",55,117285,0.944108376211005,141874,0,141874,NA,NA,NA,141874,0,141874,NA,NA,NA,141874
"fem",60,87510,0.920048116461476,110730,0,110730,NA,NA,NA,110730,0,110730,NA,NA,NA,110730
"fem",65,68226,0.880363522841583,80513,0,80513,NA,NA,NA,80513,0,80513,NA,NA,NA,80513
"fem",70,49250,0.816224161968843,60064,0,60064,NA,NA,NA,60064,0,60064,NA,NA,NA,60064
"fem",75,33103,0.727810475111862,40199,0,40199,NA,NA,NA,40199,0,40199,NA,NA,NA,40199
"fem",80,20563,0.625791441967725,24093,0,24093,NA,NA,NA,24093,0,24093,NA,NA,NA,24093
"fem",85,10445,0.417804252895386,12868,0,12868,NA,NA,NA,12868,0,12868,NA,NA,NA,12868
"fem",90,8354,NA,7854,0,7854,NA,NA,NA,7854,0,7854,NA,NA,NA,7854
"masc",0,407167,0.996189925745567,NA,0,NA,NA,NA,391423,NA,0,NA,NA,NA,NA,391423
"masc",5,419935,0.997220496319369,405616,0,405616,NA,NA,NA,405616,0,405616,NA,NA,NA,405616
"masc",10,431115,0.991986911680665,418768,0,418768,NA,NA,NA,418768,0,418768,NA,NA,NA,418768
"masc",15,402171,0.982895992912153,427660,0,427660,NA,NA,NA,427660,0,427660,NA,NA,NA,427660
"masc",20,380457,0.978958905964676,395292,0,395292,NA,NA,NA,395292,0,395292,NA,NA,NA,395292
"masc",25,357363,0.978515308383136,372452,0,372452,NA,NA,NA,372452,0,372452,NA,NA,NA,372452
"masc",30,314078,0.978089968302354,349685,0,349685,NA,NA,NA,349685,0,349685,NA,NA,NA,349685
"masc",35,262918,0.975923450076333,307197,0,307197,NA,NA,NA,307197,0,307197,NA,NA,NA,307197
"masc",40,224036,0.968757448482534,256588,0,256588,NA,NA,NA,256588,0,256588,NA,NA,NA,256588
"masc",45,182192,0.956102466593731,217037,0,217037,NA,NA,NA,217037,0,217037,NA,NA,NA,217037
"masc",50,150652,0.941197780426076,174194,0,174194,NA,NA,NA,174194,0,174194,NA,NA,NA,174194
"masc",55,118792,0.919624868271214,141793,0,141793,NA,NA,NA,141793,0,141793,NA,NA,NA,141793
"masc",60,89211,0.887438590009294,109244,0,109244,NA,NA,NA,109244,0,109244,NA,NA,NA,109244
"masc",65,67917,0.832594992291329,79169,0,79169,NA,NA,NA,79169,0,79169,NA,NA,NA,79169
"masc",70,47338,0.756240770691231,56547,0,56547,NA,NA,NA,56547,0,56547,NA,NA,NA,56547
"masc",75,30443,0.663562023132436,35799,0,35799,NA,NA,NA,35799,0,35799,NA,NA,NA,35799
"masc",80,16929,0.551524682179474,20201,0,20201,NA,NA,NA,20201,0,20201,NA,NA,NA,20201
"masc",85,7868,0.391235230934479,9337,0,9337,NA,NA,NA,9337,0,9337,NA,NA,NA,9337
"masc",90,4978,NA,5026,0,5026,NA,NA,NA,5026,0,5026,NA,NA,NA,5026
